Model Specification,RMSE,MAE,Spearman Rho,AUROC,AUPRC,Top-10% Precision,Top-10% Recall,Brier Score,DM p-value
Panel AR (Fixed Effects),0.1097,0.1076,-0.2792,0.0417,0.9035,0.5000,0.0417,0.8058,0.0000
Dynamic Factor Model,0.0792,0.0756,-1.0000,0.0000,0.8827,0.5000,0.0417,0.8160,0.1851
Panel VAR,0.0796,0.0762,-0.9608,0.0000,0.8827,0.5000,0.0417,0.7914,0.1445
Leontief IO Model,0.0665,0.0646,-0.2022,0.3333,0.9475,1.0000,0.0833,0.6853,0.0057
Centrality Regression,0.0816,0.0786,-0.9385,0.2500,0.9490,1.0000,0.0833,0.7994,0.0181
Spatial Autoregression,0.0754,0.0718,-0.2408,0.0417,0.9035,0.5000,0.0417,0.8073,1.0000
Graph-Only Model (Model A),0.0696,0.0522,-0.4746,0.0833,0.9174,1.0000,0.0833,0.8040,0.3752
Graph/Agent Model (Model B),0.0462,0.0416,-0.1846,0.2083,0.9431,1.0000,0.0833,0.6138,0.0000
